1
Wybierasz sie z ekipa do klubu 'Ziarno', ale najpierw idziesz do Biedry,
zeby tanio sie wstawic, bo nie stac Cie na piwo w klubie. W droge!

Zrobilo sie juz wesolo, wiec zbierasz sie pod klubem, jednak przy wejsciu
jest juz spora kolejka - musisz chwile poczekac!

Impreza juz sie rozbujala, wiec ze znajomymi wchodzicie na parkiet 
i bawicie sie swietnie, co jakis czas nawadniajac sie piwkiem.
Twoj porfel ucierpial, ale impreze zapamietasz na dlugo!
2
Akurat jest poniedzialek, co oznacza znizki dla studentow w 'Poczekalni'.
Nie tracisz czasu i szybko idziesz na tramwaj, zaraz przyjedzie!

Na miejscu bawisz sie swietnie, popijac tequille piwem i smiejac
sie z nowymi znajomymi. Co domu wracasz we wspanialym humorze!
3
